[0, 0, 0],[0, 1, 2]
[0, 0, 0],[0, 2, 1]
[0, 0, 0],[1, 0, 1]
[0, 0, 0],[1, 2, 0]
[0, 0, 0],[2, 1, 0]
[0, 1, 2],[0, 3, 5]
[0, 2, 1],[0, 3, 5]
[0, 1, 2],[0, 5, 3]
[0, 2, 1],[0, 5, 3]
[0, 1, 2],[1, 1, 3]
[1, 0, 1],[1, 1, 3]
[0, 1, 2],[1, 5, 2]
[0, 2, 1],[1, 5, 2]
[1, 0, 1],[1, 5, 2]
[1, 2, 0],[1, 5, 2]
[1, 0, 1],[2, 0, 2]
[0, 2, 1],[2, 5, 1]
[1, 0, 1],[2, 5, 1]
[1, 2, 0],[2, 5, 1]
[2, 1, 0],[2, 5, 1]
[1, 0, 1],[3, 1, 1]
[2, 1, 0],[3, 1, 1]
[1, 2, 0],[3, 5, 0]
[2, 1, 0],[3, 5, 0]
[1, 2, 0],[5, 3, 0]
[2, 1, 0],[5, 3, 0]
[0, 3, 5],[0, 4, 7]
[0, 5, 3],[0, 7, 4]
[0, 3, 5],[1, 3, 6]
[1, 1, 3],[1, 3, 6]
[1, 1, 3],[1, 4, 4]
[1, 1, 3],[2, 2, 5]
[2, 0, 2],[2, 2, 5]
[1, 1, 3],[2, 3, 3]
[2, 0, 2],[2, 3, 3]
[2, 0, 2],[3, 0, 3]
[2, 0, 2],[3, 3, 2]
[3, 1, 1],[3, 3, 2]
[3, 1, 1],[4, 4, 1]
[3, 5, 0],[4, 7, 0]
[2, 0, 2],[5, 2, 2]
[3, 1, 1],[5, 2, 2]
[3, 1, 1],[6, 3, 1]
[5, 3, 0],[6, 3, 1]
[5, 3, 0],[7, 4, 0]
[0, 4, 7],[0, 6, 10]
[0, 7, 4],[0, 10, 6]
[1, 4, 4],[1, 6, 5]
[0, 4, 7],[2, 4, 8]
[1, 3, 6],[2, 4, 8]
[1, 4, 4],[2, 4, 8]
[2, 2, 5],[2, 4, 8]
[2, 3, 3],[2, 4, 8]
[1, 4, 4],[2, 6, 4]
[2, 3, 3],[2, 6, 4]
[3, 0, 3],[3, 2, 4]
[3, 0, 3],[4, 0, 4]
[3, 0, 3],[4, 2, 3]
[3, 3, 2],[4, 6, 2]
[4, 4, 1],[4, 6, 2]
[4, 4, 1],[5, 6, 1]
[4, 7, 0],[6, 10, 0]
[3, 3, 2],[8, 4, 2]
[4, 4, 1],[8, 4, 2]
[5, 2, 2],[8, 4, 2]
[6, 3, 1],[8, 4, 2]
[7, 4, 0],[8, 4, 2]
[7, 4, 0],[10, 6, 0]
[0, 6, 10],[0, 8, 13]
[0, 10, 6],[0, 13, 8]
[0, 6, 10],[1, 7, 12]
[1, 6, 5],[1, 7, 12]
[0, 10, 6],[1, 12, 7]
[1, 6, 5],[1, 12, 7]
[2, 4, 8],[2, 8, 9]
[2, 6, 4],[2, 8, 9]
[0, 10, 6],[2, 10, 7]
[2, 6, 4],[2, 10, 7]
[0, 10, 6],[2, 11, 6]
[1, 6, 5],[2, 11, 6]
[2, 6, 4],[2, 11, 6]
[2, 4, 8],[3, 4, 9]
[3, 2, 4],[3, 4, 9]
[1, 6, 5],[3, 6, 7]
[2, 6, 4],[3, 6, 7]
[3, 2, 4],[3, 6, 7]
[1, 6, 5],[3, 9, 5]
[2, 6, 4],[3, 9, 5]
[3, 2, 4],[3, 9, 5]
[4, 0, 4],[4, 1, 6]
[4, 0, 4],[5, 0, 5]
[4, 2, 3],[5, 9, 3]
[4, 6, 2],[5, 9, 3]
[5, 6, 1],[5, 9, 3]
[4, 0, 4],[6, 1, 4]
[4, 6, 2],[6, 11, 2]
[5, 6, 1],[6, 11, 2]
[6, 10, 0],[6, 11, 2]
[4, 2, 3],[7, 6, 3]
[4, 6, 2],[7, 6, 3]
[5, 6, 1],[7, 6, 3]
[4, 6, 2],[7, 10, 2]
[6, 10, 0],[7, 10, 2]
[5, 6, 1],[7, 12, 1]
[6, 10, 0],[7, 12, 1]
[6, 10, 0],[8, 13, 0]
[4, 2, 3],[9, 4, 3]
[8, 4, 2],[9, 4, 3]
[4, 6, 2],[9, 8, 2]
[8, 4, 2],[9, 8, 2]
[5, 6, 1],[12, 7, 1]
[10, 6, 0],[12, 7, 1]
[10, 6, 0],[13, 8, 0]
[0, 8, 13],[0, 9, 15]
[0, 13, 8],[0, 15, 9]
[0, 8, 13],[1, 8, 14]
[1, 7, 12],[1, 8, 14]
[0, 13, 8],[1, 13, 9]
[1, 12, 7],[1, 13, 9]
[0, 13, 8],[1, 15, 8]
[1, 12, 7],[1, 15, 8]
[1, 7, 12],[2, 7, 13]
[3, 4, 9],[3, 7, 11]
[3, 6, 7],[3, 7, 11]
[2, 10, 7],[3, 10, 8]
[3, 6, 7],[3, 10, 8]
[3, 9, 5],[3, 10, 8]
[2, 11, 6],[3, 14, 6]
[3, 9, 5],[3, 14, 6]
[4, 1, 6],[4, 3, 9]
[4, 1, 6],[4, 5, 7]
[3, 9, 5],[4, 11, 5]
[4, 1, 6],[5, 1, 7]
[5, 0, 5],[5, 1, 7]
[4, 1, 6],[5, 5, 6]
[5, 0, 5],[5, 5, 6]
[5, 9, 3],[5, 11, 4]
[5, 0, 5],[6, 0, 6]
[5, 0, 5],[6, 5, 5]
[6, 1, 4],[6, 5, 5]
[5, 9, 3],[6, 14, 3]
[6, 11, 2],[6, 14, 3]
[5, 0, 5],[7, 1, 5]
[6, 1, 4],[7, 1, 5]
[6, 1, 4],[7, 5, 4]
[5, 9, 3],[8, 10, 3]
