[0, 0, 0],[0, 1, 2]
[0, 0, 0],[0, 2, 1]
[0, 0, 0],[1, 0, 2]
[0, 0, 0],[1, 2, 0]
[0, 0, 0],[2, 0, 1]
[0, 0, 0],[2, 1, 0]
[0, 1, 2],[0, 3, 5]
[0, 2, 1],[0, 3, 5]
[0, 1, 2],[0, 5, 3]
[0, 2, 1],[0, 5, 3]
[1, 0, 2],[3, 0, 5]
[2, 0, 1],[3, 0, 5]
[1, 2, 0],[3, 5, 0]
[2, 1, 0],[3, 5, 0]
[1, 0, 2],[5, 0, 3]
[2, 0, 1],[5, 0, 3]
[1, 2, 0],[5, 3, 0]
[2, 1, 0],[5, 3, 0]
[0, 1, 2],[1, 1, 4]
[1, 0, 2],[1, 1, 4]
[0, 2, 1],[1, 4, 1]
[1, 2, 0],[1, 4, 1]
[2, 0, 1],[4, 1, 1]
[2, 1, 0],[4, 1, 1]
[0, 1, 2],[1, 3, 3]
[0, 2, 1],[1, 3, 3]
[1, 0, 2],[1, 3, 3]
[1, 2, 0],[1, 3, 3]
[0, 1, 2],[3, 1, 3]
[1, 0, 2],[3, 1, 3]
[2, 0, 1],[3, 1, 3]
[2, 1, 0],[3, 1, 3]
[0, 2, 1],[3, 3, 1]
[1, 2, 0],[3, 3, 1]
[2, 0, 1],[3, 3, 1]
[2, 1, 0],[3, 3, 1]
[0, 3, 5],[0, 4, 7]
[0, 5, 3],[0, 7, 4]
[3, 0, 5],[4, 0, 7]
[3, 5, 0],[4, 7, 0]
[5, 0, 3],[7, 0, 4]
[5, 3, 0],[7, 4, 0]
[0, 3, 5],[1, 5, 6]
[0, 5, 3],[1, 5, 6]
[1, 1, 4],[1, 5, 6]
[1, 4, 1],[1, 5, 6]
[1, 3, 3],[1, 5, 6]
[0, 3, 5],[1, 6, 5]
[0, 5, 3],[1, 6, 5]
[1, 1, 4],[1, 6, 5]
[1, 4, 1],[1, 6, 5]
[1, 3, 3],[1, 6, 5]
[3, 0, 5],[5, 1, 6]
[5, 0, 3],[5, 1, 6]
[1, 1, 4],[5, 1, 6]
[4, 1, 1],[5, 1, 6]
[3, 1, 3],[5, 1, 6]
[3, 5, 0],[5, 6, 1]
[5, 3, 0],[5, 6, 1]
[1, 4, 1],[5, 6, 1]
[4, 1, 1],[5, 6, 1]
[3, 3, 1],[5, 6, 1]
[3, 0, 5],[6, 1, 5]
[5, 0, 3],[6, 1, 5]
[1, 1, 4],[6, 1, 5]
[4, 1, 1],[6, 1, 5]
[3, 1, 3],[6, 1, 5]
[3, 5, 0],[6, 5, 1]
[5, 3, 0],[6, 5, 1]
[1, 4, 1],[6, 5, 1]
[4, 1, 1],[6, 5, 1]
[3, 3, 1],[6, 5, 1]
[1, 1, 4],[2, 2, 6]
[1, 4, 1],[2, 6, 2]
[4, 1, 1],[6, 2, 2]
[1, 1, 4],[3, 4, 4]
[1, 4, 1],[3, 4, 4]
[1, 3, 3],[3, 4, 4]
[3, 1, 3],[3, 4, 4]
[3, 3, 1],[3, 4, 4]
[1, 1, 4],[4, 3, 4]
[4, 1, 1],[4, 3, 4]
[1, 3, 3],[4, 3, 4]
[3, 1, 3],[4, 3, 4]
[3, 3, 1],[4, 3, 4]
[1, 4, 1],[4, 4, 3]
[4, 1, 1],[4, 4, 3]
[1, 3, 3],[4, 4, 3]
[3, 1, 3],[4, 4, 3]
[3, 3, 1],[4, 4, 3]
[0, 4, 7],[0, 6, 10]
[0, 7, 4],[0, 10, 6]
[4, 0, 7],[6, 0, 10]
[4, 7, 0],[6, 10, 0]
[7, 0, 4],[10, 0, 6]
[7, 4, 0],[10, 6, 0]
[2, 2, 6],[2, 3, 8]
[2, 6, 2],[2, 8, 3]
[2, 2, 6],[3, 2, 8]
[2, 6, 2],[3, 8, 2]
[6, 2, 2],[8, 2, 3]
[6, 2, 2],[8, 3, 2]
[0, 4, 7],[2, 7, 7]
[0, 7, 4],[2, 7, 7]
[1, 5, 6],[2, 7, 7]
[1, 6, 5],[2, 7, 7]
[2, 2, 6],[2, 7, 7]
[2, 6, 2],[2, 7, 7]
[4, 0, 7],[7, 2, 7]
[7, 0, 4],[7, 2, 7]
[5, 1, 6],[7, 2, 7]
[6, 1, 5],[7, 2, 7]
[2, 2, 6],[7, 2, 7]
[6, 2, 2],[7, 2, 7]
[4, 7, 0],[7, 7, 2]
[7, 4, 0],[7, 7, 2]
[5, 6, 1],[7, 7, 2]
[6, 5, 1],[7, 7, 2]
[2, 6, 2],[7, 7, 2]
[6, 2, 2],[7, 7, 2]
[0, 4, 7],[5, 5, 7]
[4, 0, 7],[5, 5, 7]
[1, 5, 6],[5, 5, 7]
[5, 1, 6],[5, 5, 7]
[2, 2, 6],[5, 5, 7]
[3, 4, 4],[5, 5, 7]
[4, 3, 4],[5, 5, 7]
[4, 4, 3],[5, 5, 7]
[0, 7, 4],[5, 7, 5]
[4, 7, 0],[5, 7, 5]
[1, 6, 5],[5, 7, 5]
[5, 6, 1],[5, 7, 5]
[2, 6, 2],[5, 7, 5]
[3, 4, 4],[5, 7, 5]
[4, 3, 4],[5, 7, 5]
[4, 4, 3],[5, 7, 5]
[7, 0, 4],[7, 5, 5]
[7, 4, 0],[7, 5, 5]
[6, 1, 5],[7, 5, 5]
[6, 5, 1],[7, 5, 5]
[6, 2, 2],[7, 5, 5]
[3, 4, 4],[7, 5, 5]
[4, 3, 4],[7, 5, 5]
[4, 4, 3],[7, 5, 5]
[0, 6, 10],[0, 8, 13]
[0, 10, 6],[0, 13, 8]
