[0, 0, 0],[0, 1, 2]
[0, 0, 0],[0, 2, 1]
[0, 0, 0],[1, 0, 2]
[0, 0, 0],[1, 2, 0]
[0, 0, 0],[2, 0, 1]
[0, 0, 0],[2, 1, 0]
[0, 0, 0],[1, 1, 1]
[0, 1, 2],[0, 3, 5]
[0, 2, 1],[0, 3, 5]
[0, 1, 2],[0, 5, 3]
[0, 2, 1],[0, 5, 3]
[1, 0, 2],[3, 0, 5]
[2, 0, 1],[3, 0, 5]
[1, 2, 0],[3, 5, 0]
[2, 1, 0],[3, 5, 0]
[1, 0, 2],[5, 0, 3]
[2, 0, 1],[5, 0, 3]
[1, 2, 0],[5, 3, 0]
[2, 1, 0],[5, 3, 0]
[0, 1, 2],[1, 3, 4]
[0, 2, 1],[1, 3, 4]
[1, 0, 2],[1, 3, 4]
[1, 2, 0],[1, 3, 4]
[1, 1, 1],[1, 3, 4]
[0, 1, 2],[1, 4, 3]
[0, 2, 1],[1, 4, 3]
[1, 0, 2],[1, 4, 3]
[1, 2, 0],[1, 4, 3]
[1, 1, 1],[1, 4, 3]
[0, 1, 2],[3, 1, 4]
[1, 0, 2],[3, 1, 4]
[2, 0, 1],[3, 1, 4]
[2, 1, 0],[3, 1, 4]
[1, 1, 1],[3, 1, 4]
[0, 2, 1],[3, 4, 1]
[1, 2, 0],[3, 4, 1]
[2, 0, 1],[3, 4, 1]
[2, 1, 0],[3, 4, 1]
[1, 1, 1],[3, 4, 1]
[0, 1, 2],[4, 1, 3]
[1, 0, 2],[4, 1, 3]
[2, 0, 1],[4, 1, 3]
[2, 1, 0],[4, 1, 3]
[1, 1, 1],[4, 1, 3]
[0, 2, 1],[4, 3, 1]
[1, 2, 0],[4, 3, 1]
[2, 0, 1],[4, 3, 1]
[2, 1, 0],[4, 3, 1]
[1, 1, 1],[4, 3, 1]
[0, 1, 2],[2, 2, 2]
[0, 2, 1],[2, 2, 2]
[1, 0, 2],[2, 2, 2]
[1, 2, 0],[2, 2, 2]
[2, 0, 1],[2, 2, 2]
[2, 1, 0],[2, 2, 2]
[1, 1, 1],[2, 2, 2]
[0, 3, 5],[0, 4, 7]
[0, 5, 3],[0, 7, 4]
[3, 0, 5],[4, 0, 7]
[3, 5, 0],[4, 7, 0]
[5, 0, 3],[7, 0, 4]
[5, 3, 0],[7, 4, 0]
[0, 3, 5],[2, 3, 6]
[1, 3, 4],[2, 3, 6]
[2, 2, 2],[2, 3, 6]
[0, 5, 3],[2, 6, 3]
[1, 4, 3],[2, 6, 3]
[2, 2, 2],[2, 6, 3]
[3, 0, 5],[3, 2, 6]
[3, 1, 4],[3, 2, 6]
[2, 2, 2],[3, 2, 6]
[3, 5, 0],[3, 6, 2]
[3, 4, 1],[3, 6, 2]
[2, 2, 2],[3, 6, 2]
[5, 0, 3],[6, 2, 3]
[4, 1, 3],[6, 2, 3]
[2, 2, 2],[6, 2, 3]
[5, 3, 0],[6, 3, 2]
[4, 3, 1],[6, 3, 2]
[2, 2, 2],[6, 3, 2]
[2, 2, 2],[3, 3, 3]
[0, 4, 7],[0, 6, 10]
[0, 7, 4],[0, 10, 6]
[4, 0, 7],[6, 0, 10]
[4, 7, 0],[6, 10, 0]
[7, 0, 4],[10, 0, 6]
[7, 4, 0],[10, 6, 0]
[0, 4, 7],[1, 5, 8]
[0, 7, 4],[1, 8, 5]
[4, 0, 7],[5, 1, 8]
[4, 7, 0],[5, 8, 1]
[7, 0, 4],[8, 1, 5]
[7, 4, 0],[8, 5, 1]
[0, 4, 7],[2, 4, 8]
[2, 3, 6],[2, 4, 8]
[0, 7, 4],[2, 8, 4]
[2, 6, 3],[2, 8, 4]
[4, 0, 7],[4, 2, 8]
[3, 2, 6],[4, 2, 8]
[4, 7, 0],[4, 8, 2]
[3, 6, 2],[4, 8, 2]
[7, 0, 4],[8, 2, 4]
[6, 2, 3],[8, 2, 4]
[7, 4, 0],[8, 4, 2]
[6, 3, 2],[8, 4, 2]
[0, 4, 7],[2, 5, 7]
[2, 3, 6],[2, 5, 7]
[0, 7, 4],[2, 7, 5]
[2, 6, 3],[2, 7, 5]
[4, 0, 7],[5, 2, 7]
[3, 2, 6],[5, 2, 7]
[4, 7, 0],[5, 7, 2]
[3, 6, 2],[5, 7, 2]
[7, 0, 4],[7, 2, 5]
[6, 2, 3],[7, 2, 5]
[7, 4, 0],[7, 5, 2]
[6, 3, 2],[7, 5, 2]
[3, 3, 3],[4, 4, 4]
[0, 6, 10],[0, 8, 13]
[0, 10, 6],[0, 13, 8]
[6, 0, 10],[8, 0, 13]
[6, 10, 0],[8, 13, 0]
[10, 0, 6],[13, 0, 8]
[10, 6, 0],[13, 8, 0]
[0, 6, 10],[1, 6, 12]
[1, 5, 8],[1, 6, 12]
[0, 10, 6],[1, 12, 6]
[1, 8, 5],[1, 12, 6]
[6, 0, 10],[6, 1, 12]
[5, 1, 8],[6, 1, 12]
[6, 10, 0],[6, 12, 1]
[5, 8, 1],[6, 12, 1]
[10, 0, 6],[12, 1, 6]
[8, 1, 5],[12, 1, 6]
[10, 6, 0],[12, 6, 1]
[8, 5, 1],[12, 6, 1]
[0, 6, 10],[1, 7, 11]
[1, 5, 8],[1, 7, 11]
[0, 10, 6],[1, 11, 7]
[1, 8, 5],[1, 11, 7]
[6, 0, 10],[7, 1, 11]
[5, 1, 8],[7, 1, 11]
[6, 10, 0],[7, 11, 1]
[5, 8, 1],[7, 11, 1]
[10, 0, 6],[11, 1, 7]
[8, 1, 5],[11, 1, 7]
