[0, 0, 0],[0, 1, 2]
[0, 0, 0],[0, 2, 1]
[0, 0, 0],[1, 0, 1]
[0, 0, 0],[1, 1, 0]
[0, 1, 2],[0, 3, 5]
[0, 2, 1],[0, 3, 5]
[0, 1, 2],[0, 5, 3]
[0, 2, 1],[0, 5, 3]
[0, 1, 2],[1, 2, 2]
[0, 2, 1],[1, 2, 2]
[1, 0, 1],[1, 2, 2]
[1, 1, 0],[1, 2, 2]
[1, 0, 1],[2, 0, 2]
[1, 0, 1],[2, 1, 1]
[1, 1, 0],[2, 1, 1]
[1, 1, 0],[2, 2, 0]
[0, 3, 5],[0, 4, 7]
[0, 5, 3],[0, 7, 4]
[0, 3, 5],[1, 3, 6]
[1, 2, 2],[1, 3, 6]
[0, 5, 3],[1, 6, 3]
[1, 2, 2],[1, 6, 3]
[2, 0, 2],[2, 3, 4]
[2, 1, 1],[2, 3, 4]
[2, 2, 0],[2, 3, 4]
[2, 0, 2],[2, 4, 3]
[2, 1, 1],[2, 4, 3]
[2, 2, 0],[2, 4, 3]
[2, 0, 2],[3, 0, 3]
[2, 2, 0],[3, 3, 0]
[0, 4, 7],[0, 6, 10]
[0, 7, 4],[0, 10, 6]
[0, 4, 7],[1, 4, 8]
[1, 3, 6],[1, 4, 8]
[0, 4, 7],[1, 5, 7]
[1, 3, 6],[1, 5, 7]
[0, 7, 4],[1, 7, 5]
[1, 6, 3],[1, 7, 5]
[0, 7, 4],[1, 8, 4]
[1, 6, 3],[1, 8, 4]
[3, 0, 3],[3, 1, 5]
[3, 0, 3],[3, 2, 4]
[3, 3, 0],[3, 4, 2]
[3, 3, 0],[3, 5, 1]
[3, 0, 3],[4, 0, 4]
[3, 0, 3],[4, 1, 3]
[3, 3, 0],[4, 3, 1]
[3, 3, 0],[4, 4, 0]
[0, 6, 10],[0, 8, 13]
[0, 10, 6],[0, 13, 8]
[1, 4, 8],[2, 5, 8]
[1, 5, 7],[2, 5, 8]
[1, 7, 5],[2, 8, 5]
[1, 8, 4],[2, 8, 5]
[3, 1, 5],[3, 6, 6]
[3, 2, 4],[3, 6, 6]
[3, 4, 2],[3, 6, 6]
[3, 5, 1],[3, 6, 6]
[3, 1, 5],[4, 2, 5]
[3, 2, 4],[4, 2, 5]
[4, 0, 4],[4, 2, 5]
[4, 1, 3],[4, 2, 5]
[3, 4, 2],[4, 5, 2]
[3, 5, 1],[4, 5, 2]
[4, 3, 1],[4, 5, 2]
[4, 4, 0],[4, 5, 2]
[4, 0, 4],[5, 0, 5]
[4, 0, 4],[5, 1, 4]
[4, 1, 3],[5, 1, 4]
[4, 1, 3],[5, 2, 3]
[4, 3, 1],[5, 3, 2]
[4, 3, 1],[5, 4, 1]
[4, 4, 0],[5, 4, 1]
[4, 4, 0],[5, 5, 0]
[0, 8, 13],[0, 9, 15]
[0, 13, 8],[0, 15, 9]
[0, 8, 13],[1, 9, 14]
[0, 13, 8],[1, 14, 9]
[2, 5, 8],[2, 6, 11]
[2, 8, 5],[2, 11, 6]
[2, 5, 8],[3, 7, 8]
[3, 6, 6],[3, 7, 8]
[2, 8, 5],[3, 8, 7]
[3, 6, 6],[3, 8, 7]
[3, 6, 6],[4, 6, 7]
[4, 2, 5],[4, 6, 7]
[4, 5, 2],[4, 6, 7]
[3, 6, 6],[4, 7, 6]
[4, 2, 5],[4, 7, 6]
[4, 5, 2],[4, 7, 6]
[5, 0, 5],[6, 0, 6]
[5, 2, 3],[6, 3, 3]
[5, 3, 2],[6, 3, 3]
[5, 5, 0],[6, 6, 0]
[0, 9, 15],[0, 11, 18]
[0, 15, 9],[0, 18, 11]
[0, 9, 15],[1, 10, 16]
[1, 9, 14],[1, 10, 16]
[0, 15, 9],[1, 16, 10]
[1, 14, 9],[1, 16, 10]
[2, 6, 11],[2, 7, 13]
[2, 11, 6],[2, 13, 7]
[3, 7, 8],[4, 8, 8]
[3, 8, 7],[4, 8, 8]
[4, 6, 7],[4, 8, 8]
[4, 7, 6],[4, 8, 8]
[4, 6, 7],[5, 6, 8]
[4, 6, 7],[5, 7, 7]
[4, 7, 6],[5, 7, 7]
[4, 7, 6],[5, 8, 6]
[6, 0, 6],[6, 1, 8]
[6, 0, 6],[6, 2, 7]
[6, 3, 3],[6, 4, 5]
[6, 3, 3],[6, 5, 4]
[6, 6, 0],[6, 7, 2]
[6, 6, 0],[6, 8, 1]
[6, 0, 6],[7, 0, 7]
[6, 0, 6],[7, 1, 6]
[6, 3, 3],[7, 4, 4]
[6, 6, 0],[7, 6, 1]
[6, 6, 0],[7, 7, 0]
[0, 11, 18],[0, 12, 20]
[0, 18, 11],[0, 20, 12]
[0, 11, 18],[1, 11, 19]
[1, 10, 16],[1, 11, 19]
[0, 18, 11],[1, 19, 11]
[1, 16, 10],[1, 19, 11]
[2, 7, 13],[2, 9, 16]
[2, 7, 13],[2, 10, 14]
[2, 13, 7],[2, 14, 10]
[2, 13, 7],[2, 16, 9]
[2, 7, 13],[5, 9, 13]
[5, 6, 8],[5, 9, 13]
[5, 7, 7],[5, 9, 13]
[5, 8, 6],[5, 9, 13]
[2, 13, 7],[5, 13, 9]
[5, 6, 8],[5, 13, 9]
[5, 7, 7],[5, 13, 9]
[5, 8, 6],[5, 13, 9]
[5, 6, 8],[6, 9, 11]
[6, 1, 8],[6, 9, 11]
[6, 2, 7],[6, 9, 11]
[6, 4, 5],[6, 9, 11]
[6, 5, 4],[6, 9, 11]
[6, 7, 2],[6, 9, 11]
[6, 8, 1],[6, 9, 11]
